Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0044F66B  bound ebx,dword ptr ds:[1D64C2]                                   L"day"
0046DDAF  imul ebx,dword ptr ds:[esi],1D64C2                                L"day"
004C8BC0  sbb eax,1E6ECA                                                    L" yyyy"
004DEB4F  mov byte ptr ds:[76A2DB76],al                                     ";w"
004DEB55  mov byte ptr ds:[76A2DB76],al                                     ";w"
005081F8  mov al,byte ptr ds:[3D03F04]                                      L"grid"
0050F4EB  add byte ptr ds:[ecx*4+400051],ah                                 "s program cannot be run in DOS mode.\r\r\n$"
0050FA07  add byte ptr ds:[esi+ebx*2+400051],cl                             "s program cannot be run in DOS mode.\r\r\n$"
00510078  sbb byte ptr ds:[ebx+400051],cl                                   "s program cannot be run in DOS mode.\r\r\n$"
005159D5  imul edx,dword ptr ds:[ecx],mhxalphabetbingo.5169E0               "LOWERCASEBoardNumPlacement"
005159DD  imul edx,dword ptr ds:[ecx],mhxalphabetbingo.516A10               "LOWERCASECURRENT"
00515DA7  push mhxalphabetbingo.515D84                                      "d]Q"
00518D85  add byte ptr ds:[eax+765F5F00],cl                                 "NetIsServiceAccount"
005609B0  sbb eax,1DFE00                                                    L"MMMM yyyy"
00560EC6  sbb eax,1DFE00                                                    L"MMMM yyyy"
00560FE9  sbb eax,1DFE00                                                    L"MMMM yyyy"
00561505  sbb eax,1DFE00                                                    L"MMMM yyyy"
00561625  sbb eax,1DFE00                                                    L"MMMM yyyy"
00561B44  sbb eax,1DFE00                                                    L"MMMM yyyy"
00561C5E  sbb eax,1DFE00                                                    L"MMMM yyyy"
00562183  sbb eax,1DFE00                                                    L"MMMM yyyy"
00562297  sbb eax,1DFE00                                                    L"MMMM yyyy"
005627C2  sbb eax,1DFE00                                                    L"MMMM yyyy"
005628D0  sbb eax,1DFE00                                                    L"MMMM yyyy"
00562E01  sbb eax,1DFE00                                                    L"MMMM yyyy"
00562F09  sbb eax,1DFE00                                                    L"MMMM yyyy"
00563440  sbb eax,1DFE00                                                    L"MMMM yyyy"
00563542  sbb eax,1DFE00                                                    L"MMMM yyyy"
00563A7F  sbb eax,1DFE00                                                    L"MMMM yyyy"
00563B7B  sbb eax,1DFE00                                                    L"MMMM yyyy"
005640BE  sbb eax,1DFE00                                                    L"MMMM yyyy"
005641B4  sbb eax,1DFE00                                                    L"MMMM yyyy"
005646FD  sbb eax,1DFE00                                                    L"MMMM yyyy"
005647ED  sbb eax,1DFE00                                                    L"MMMM yyyy"
00564D39  sbb eax,1DFE00                                                    L"MMMM yyyy"
00564E29  sbb eax,1DFE00                                                    L"MMMM yyyy"
00565378  sbb eax,1DFE00                                                    L"MMMM yyyy"
00565462  sbb eax,1DFE00                                                    L"MMMM yyyy"
005659B7  sbb eax,1DFE00                                                    L"MMMM yyyy"
00565A9B  sbb eax,1DFE00                                                    L"MMMM yyyy"
00565FF6  sbb eax,1DFE00                                                    L"MMMM yyyy"
005660D4  sbb eax,1DFE00                                                    L"MMMM yyyy"
00566635  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056670D  sbb eax,1DFE00                                                    L"MMMM yyyy"
00566C74  sbb eax,1DFE00                                                    L"MMMM yyyy"
00566D46  sbb eax,1DFE00                                                    L"MMMM yyyy"
005672B0  sbb eax,1DFE00                                                    L"MMMM yyyy"
00567382  sbb eax,1DFE00                                                    L"MMMM yyyy"
005678EF  sbb eax,1DFE00                                                    L"MMMM yyyy"
005679BB  sbb eax,1DFE00                                                    L"MMMM yyyy"
00567F2E  sbb eax,1DFE00                                                    L"MMMM yyyy"
00567FF4  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056856D  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056862D  sbb eax,1DFE00                                                    L"MMMM yyyy"
00568BAC  sbb eax,1DFE00                                                    L"MMMM yyyy"
00568C66  sbb eax,1DFE00                                                    L"MMMM yyyy"
005691E8  sbb eax,1DFE00                                                    L"MMMM yyyy"
005692A2  sbb eax,1DFE00                                                    L"MMMM yyyy"
00569827  sbb eax,1DFE00                                                    L"MMMM yyyy"
005698DB  sbb eax,1DFE00                                                    L"MMMM yyyy"
00569E66  sbb eax,1DFE00                                                    L"MMMM yyyy"
00569F14  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056A4A5  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056A54D  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056AAE1  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056AB89  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056B120  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056B1C2  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056B75F  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056B7FB  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056BD9E  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056BE34  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056C3DA  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056C470  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056CA19  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056CAA9  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056D058  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056D0E2  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056D697  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056D71E  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056DCD3  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056DD57  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056E312  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056E390  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056E951  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056E9CC  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056EF8D  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056F005  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056F5CC  sbb eax,1DFE00                                                    L"MMMM yyyy"
0056F63E  sbb eax,1DFE00                                                    L"MMMM yyyy"
