Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
003B1018  push hddled.41B634                                                L"Appearance"
003B1115  push hddled.41C0B4                                                L"\\Device\\KeyboardClass0"
003B111A  push hddled.41C0E4                                                L"Kbd"
003B114E  push hddled.41C0EC                                                L"\\\\.\\Kbd"
003B18E9  push hddled.41AFE0                                                "invalid vector<T> subscript"
003B196C  push hddled.41AFFC                                                "vector<T> too long"
003B230F  push hddled.41B038                                                L"Unknown storage"
003B244D  push hddled.41B058                                                L"Read: %s %s"
003B2463  push hddled.41B070                                                L"%s"
003B248D  push hddled.41B078                                                L" \tWrite: %s "
003B2645  push hddled.41B098                                                L"\r\nRate kB/sec: %s      \t\tRate kB/sec: %s\r\nRequests/sec: %u       \t\tRequests/sec: %u\r\nQueue length/sec: %3.3f \t\tQueue length/sec: %3.3f"
003B268F  push hddled.41B070                                                L"%s"
003B26BD  push hddled.41B1B8                                                L"_Total"
003B26D6  push hddled.41B1A8                                                L"%c:"
003B26EB  push hddled.41B1B0                                                L"%s "
003B28E1  push hddled.41B1C8                                                L"SYSTEM\\CurrentControlSet\\Services\\PerfDisk\\Performance"
003B2913  push hddled.41B238                                                L"Disable Performance Counters"
003B2986  push hddled.41B274                                                L"234 236"
003B29C8  push hddled.41B274                                                L"234 236"
003B2EC4  push hddled.41AFFC                                                "vector<T> too long"
003B3029  push hddled.41B284                                                "string too long"
003B3266  push hddled.41B284                                                "string too long"
003B3374  push hddled.41B294                                                "invalid string position"
003B337E  push hddled.41B294                                                "invalid string position"
003B3388  push hddled.41B284                                                "string too long"
003B348D  push hddled.41B294                                                "invalid string position"
003B3497  push hddled.41B284                                                "string too long"
003B34A1  push hddled.41B284                                                "string too long"
003B3748  push hddled.41B294                                                "invalid string position"
003B3790  push hddled.41B294                                                "invalid string position"
003B389B  push hddled.41B030                                                L" - "
003B3A40  push hddled.41B284                                                "string too long"
003B3A4A  push hddled.41B284                                                "string too long"
003B3CE3  mov eax,hddled.41B2EC                                             "Unknown exception"
003B3D8A  mov dword ptr ds:[ecx+4],hddled.41B300                            "bad cast"
003B3E1E  mov dword ptr ss:[ebp-18],hddled.41B30C                           "bad locale name"
003B3F78  mov dword ptr ds:[esi],hddled.40E47C                              "p?;"
003B4010  mov dword ptr ds:[ecx],hddled.40E47C                              "p?;"
003B46F5  mov dword ptr ds:[esi],hddled.40E47C                              "p?;"
003B4728  mov dword ptr ds:[esi],hddled.41B53C                              " G;"
003B4940  mov dword ptr ds:[esi],hddled.41B58C                              "PI;"
003B49F0  mov eax,hddled.41B330                                             "iostream"
003B4A28  push hddled.41B33C                                                "iostream stream error"
003B4AE5  mov dword ptr ds:[esi],hddled.41B62C                              "PI;"
003B4B54  push hddled.41B354                                                "ios_base::badbit set"
003B4B7F  push hddled.41B36C                                                "ios_base::failbit set"
003B4BAA  push hddled.41B384                                                "ios_base::eofbit set"
003B4CE2  mov dword ptr ds:[edi],hddled.41B58C                              "PI;"
003B4CF9  mov dword ptr ds:[edi],hddled.41B62C                              "PI;"
003B4D32  mov dword ptr ds:[edi],hddled.41B58C                              "PI;"
003B4D49  mov dword ptr ds:[edi],hddled.41B620                              "PI;"
003B4D82  mov dword ptr ds:[edi],hddled.41B58C                              "PI;"
003B4F1E  push hddled.41B39C                                                L"Software\\HddLed"
003B4F55  push hddled.41B3BC                                                L"name"
003B4F81  push hddled.41B3C8                                                L"key"
003B4F9E  push hddled.41B3D0                                                L"HddLed"
003B4FA3  push hddled.41B3E0                                                L"Thank you for registering HddLed!"
003B4FD5  push hddled.41B3D0                                                L"HddLed"
003B4FDA  push hddled.41B424                                                L"Incorrect registration code."
003B508F  push hddled.41B460                                                L"#purchase"
003B509D  mov edx,hddled.41B478                                             L"http://www.hddled.com/?src=hddled121"
003B50CE  push hddled.41B4C4                                                L"open"
003B5132  push hddled.41B39C                                                L"Software\\HddLed"
003B5182  push hddled.41B3BC                                                L"name"
003B51CC  push hddled.41B3C8                                                L"key"
003B527D  push hddled.41C5B8                                                L"UxTheme.dll"
003B5294  push hddled.41C5D0                                                "IsAppThemed"
003B52A6  push hddled.41C5DC                                                "EnableThemeDialogTexture"
003B55F6  push hddled.41B284                                                "string too long"
003B56F5  push hddled.41B294                                                "invalid string position"
003B56FF  push hddled.41B294                                                "invalid string position"
003B5709  push hddled.41B284                                                "string too long"
003B5731  cmp eax,hddled.41B32C                                             ": "
003B5748  cmp eax,hddled.41B32C                                             ": "
003B575E  mov eax,hddled.41B32C                                             ": "
003B57E2  push hddled.41B32C                                                ": "
003B5815  push hddled.41B284                                                "string too long"
003B581F  push hddled.41B284                                                "string too long"
003B5906  push hddled.41B294                                                "invalid string position"
003B5910  push hddled.41B284                                                "string too long"
003B591A  push hddled.41B284                                                "string too long"
003B59F0  push hddled.41B284                                                "string too long"
003B5A61  push hddled.41B284                                                "string too long"
003B5B4A  push hddled.41B294                                                "invalid string position"
003B5B88  push hddled.41B294                                                "invalid string position"
003B5C2B  push hddled.41B284                                                "string too long"
003B5C35  push hddled.41B284                                                "string too long"
003B5C40  push hddled.41B294                                                "invalid string position"
003B5E66  mov dword ptr ds:[435C04],hddled.41B558                           " G;"
003B5ECA  push hddled.41B4D0                                                L" \t"
003B5F6A  push hddled.41B4D0                                                L" \t"
003B631F  push hddled.41B284                                                "string too long"
003B6329  push hddled.41B284                                                "string too long"
003B63C3  push hddled.41B284                                                "string too long"
003B63CD  push hddled.41B284                                                "string too long"
003B659D  push hddled.41B294                                                "invalid string position"
003B65A7  push hddled.41B284                                                "string too long"
003B65B1  push hddled.41B284                                                "string too long"
003B665A  push hddled.41B284                                                "string too long"
003B6664  push hddled.41B284                                                "string too long"
003B691F  push hddled.41B294                                                "invalid string position"
003B6E48  push hddled.41B284                                                "string too long"
003B6E52  push hddled.41B294                                                "invalid string position"
003B7508  push hddled.41B284                                                "string too long"
003B7512  push hddled.41B294                                                "invalid string position"
003B7783  push hddled.41B4E0                                                L"%02x%08x-%08x-%08x"
003B783F  push hddled.41B508                                                "%08x%08x"
003B89F3  push hddled.41B514                                                "%p"
003B8D4C  push hddled.41B518                                                "Lu"
003B8DBC  push hddled.41B51C                                                "Ld"
003B8E29  push hddled.41B520                                                "lu"
003B8E89  push hddled.41B524                                                "ld"
003B94B8  mov dword ptr ds:[esi],hddled.40E47C                              "p?;"
003B9BED  mov edx,hddled.41B528                                             "eE"
003B9BF7  mov edx,hddled.41B52C                                             "pP"
003BA234  mov dword ptr ds:[esi],hddled.40E47C                              "p?;"
003BA3DB  push hddled.41B294                                                "invalid string position"
003BA3E5  push hddled.41B284                                                "string too long"
003BA3EF  push hddled.41B284                                                "string too long"
003BA59C  mov dword ptr ss:[ebp-20],hddled.41B300                           "bad cast"
003BA6CC  mov dword ptr ss:[ebp-24],hddled.41B300                           "bad cast"
003BA7FC  mov dword ptr ss:[ebp-24],hddled.41B300                           "bad cast"
003BAA77  push hddled.41B31C                                                "false"
003BAA8D  push hddled.41B324                                                "true"
003BAEB9  push hddled.41AFFC                                                "vector<T> too long"
003BAFD4  push hddled.41B6A0                                                L"Opacity"
003BB053  push hddled.41B6B0                                                L"Frequency"
003BB0D3  push hddled.41B6C4                                                L"ColorRead"
003BB153  push hddled.41B6D8                                                L"ColorWrite"
003BB1D3  push hddled.41B6F0                                                L"ColorOff"
003BB253  push hddled.41B704                                                L"StatPageRefresh"
003BB2DB  push hddled.41B724                                                L"LedSizeIdx"
003BB33D  push hddled.41B73C                                                L"StartWithWindows"
003BB353  push hddled.41B760                                                L"general"
003BB37A  push hddled.41B770                                                L"UseKeyboardLed"
003BB390  push hddled.41B760                                                L"general"
003BB3BF  push hddled.41B790                                                L"UseKeyboardLedDirectAccess"
003BB3D5  push hddled.41B760                                                L"general"
003BB404  push hddled.41B7C8                                                L"ShowTrayIcon"
003BB41A  push hddled.41B760                                                L"general"
003BB449  push hddled.41B7E4                                                L"UseTrayLed"
003BB45F  push hddled.41B760                                                L"general"
003BB48E  push hddled.41B7FC                                                L"ShowIndicatorLabel"
003BB4A4  push hddled.41B760                                                L"general"
003BB546  push hddled.41B6A0                                                L"Opacity"
003BB5CA  push hddled.41B6B0                                                L"Frequency"
003BB657  push hddled.41B6C4                                                L"ColorRead"
003BB6DC  push hddled.41B6D8                                                L"ColorWrite"
003BB761  push hddled.41B6F0                                                L"ColorOff"
003BB7E6  push hddled.41B704                                                L"StatPageRefresh"
003BB86B  push hddled.41B73C                                                L"StartWithWindows"
003BB884  push hddled.41B760                                                L"general"
003BB8AD  push hddled.41B770                                                L"UseKeyboardLed"
003BB8C3  push hddled.41B760                                                L"general"
003BB91E  push hddled.41B790                                                L"UseKeyboardLedDirectAccess"
003BB934  push hddled.41B760                                                L"general"
003BB99B  push hddled.41B7C8                                                L"ShowTrayIcon"
003BB9B1  push hddled.41B760                                                L"general"
003BBA03  push hddled.41B7E4                                                L"UseTrayLed"
003BBA19  push hddled.41B760                                                L"general"
003BBA6B  push hddled.41B7FC                                                L"ShowIndicatorLabel"
003BBA81  push hddled.41B760                                                L"general"
003BBAD3  push hddled.41B724                                                L"LedSizeIdx"
003BBBD9  push hddled.41B824                                                L"hddled.exe"
003BBC0B  push hddled.41B840                                                L"Software\\Microsoft\\Windows\\CurrentVersion\\Run"
003BBCBB  push hddled.41B89C                                                L" s"
003BC90B  push hddled.41B8C8                                                L"%u%%"
003BC91B  push hddled.41B8B8                                                L"Opaque"
