Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
004012CE  push topprobe.6AD840                                              L"%d"
004014B9  push topprobe.6AD848                                              L"TopJTAG Probe"
00401D1E  push topprobe.6ADF38                                              L"PNG file"
00401D38  push topprobe.6ADF0C                                              L"png"
00401D45  push topprobe.6ADEF8                                              L"image/png"
00402257  mov dword ptr ds:[esi+150],topprobe.6AE63C                        " '@"
00402954  push topprobe.6AF0AC                                              "your program"
00402959  push topprobe.6AF068                                              "2.8 (no debug,Unicode,Visual C++,wx containers,compatible with 2.6)"
00402A96  push topprobe.6AF0CC                                              L"Maximized"
00402FFA  push topprobe.6AF490                                              L"%.1f scans/sec"
00403013  push topprobe.6AF474                                              L"%d scans/sec"
004030F9  push topprobe.6AF71C                                              L"Warning"
0040310F  push topprobe.6AF4B0                                              L"Adaptive Clocking is enabled!\n\nUse Adaptive Clocking ONLY IF a target device in a JTAG chain and a JTAG adapter support this feature! Otherwise, the software will hang up with no error messages (!) upon attempt to shift data into a JTAG chain.\n\nIgnore this warning and continue with adaptive clocking enabled?"
00403262  push topprobe.6AF734                                              L"waveform"
0040328C  push topprobe.6AF72C                                              L"log"
00403372  push topprobe.6AF748                                              L"IN of inout"
00403422  push topprobe.6AF760                                              L"OUT of inout"
0040358B  push topprobe.6AF77C                                              L"http://www.topjtag.com/"
0040367B  push topprobe.6AF7AC                                              L"welcome.htm"
0040381F  push topprobe.6AD840                                              L"%d"
0040391D  push topprobe.6AF7C4                                              L"%d%%"
00403E80  push topprobe.6AF040                                              "invalid string position"
00404681  push topprobe.6AF040                                              "invalid string position"
0040488F  push topprobe.6B0490                                              L"Registration"
00404978  push topprobe.6B0460                                              L"Successful Registration"
00404993  push topprobe.6B0400                                              L"You have successfully registered TopJTAG Probe."
004049DE  mov eax,topprobe.6B0490                                           L"Registration"
004049F1  push topprobe.6B03D0                                              L"Registration Problem"
00404A09  push topprobe.6B03A4                                              L"Invalid license key."
00404CFE  push topprobe.6B0C00                                              L"&New Project Wizard\tCtrl+N"
00404D98  push topprobe.6B0BE0                                              L"&Open...\tCtrl+O"
00404E37  push topprobe.6B0BC4                                              L"&Save\tCtrl+S"
00404ED7  push topprobe.6B0BAC                                              L"Save &As..."
00404F7E  push topprobe.6B0B88                                              L"&Recent Projects"
00405027  push topprobe.6B0B7C                                              L"E&xit"
004050F4  push topprobe.6B0B70                                              L"&Pins"
00405194  push topprobe.6B0B60                                              L"&Watch"
00405234  push topprobe.6B0B4C                                              L"Wa&veform"
004052DB  push topprobe.6B0B3C                                              L"&Close"
004053A4  push topprobe.6B0B20                                              L"&IN of inout"
00405444  push topprobe.6B0B04                                              L"&OUT of inout"
004054E1  push topprobe.6B0AD4                                              L"&Inout Pins Displaying"
00405588  push topprobe.6B0AB0                                              L"&Arrange Packages"
00405628  push topprobe.6B0A9C                                              L"&Zoom..."
004056F5  push topprobe.6B0A6C                                              L"JTAG &Connection...\tF2"
0040579C  push topprobe.6B0A44                                              L"&Examine the Chain"
00405843  push topprobe.6B0A34                                              L"&Run\tF5"
004058E3  push topprobe.6B0A14                                              L"JTAG Rese&t\tF8"
0040598A  push topprobe.6B09E4                                              L"Device &Instruction..."
00405A31  push topprobe.6B09B8                                              L"Device &BSDL File..."
00405AD1  push topprobe.6B0990                                              L"Device &Package..."
00405B71  push topprobe.6B0964                                              L"Device Pr&operties..."
00405C39  push topprobe.6B0944                                              L"Select &Device"
00405D18  push topprobe.6B0924                                              L"S&earch Pins\tF3"
00405DBF  push topprobe.6B08E8                                              L"Edit Pin &Names and Buses..."
00405E66  push topprobe.6B08A8                                              L"dev.pin/port   Set to &0\tCtrl+0"
00405F06  push topprobe.6B0868                                              L"dev.pin/port   Set to &1\tCtrl+1"
00405FA6  push topprobe.6B0834                                              L"dev.pin/port   Set to Z"
00406046  push topprobe.6B07F8                                              L"dev.pin/port   &Toggle\tCtrl+T"
004060ED  push topprobe.6B07B0                                              L"dev.bus   Set &Bus Value...\tCtrl+B"
004061B0  push topprobe.6B0768                                              L"dev.bus   Set Bus to &Recent Value"
00406251  push topprobe.6B0730                                              L"dev.bus   Set Bus to All Z"
004062F8  push topprobe.6B06F0                                              L"Set All dd Pins to BSDL '&Safe'"
004063C5  push topprobe.6B06D0                                              L"&Show / Close"
0040646C  push topprobe.6B06B0                                              L"&Add Signal..."
00406513  push topprobe.6B06A0                                              L"&Remove"
004065B3  push topprobe.6B0688                                              L"R&emove All"
0040665A  push topprobe.6B0654                                              L"&Zero Transition Counter"
004066FA  push topprobe.6B0618                                              L"Zero A&ll Transition Counters"
004067BC  push topprobe.6B06D0                                              L"&Show / Close"
00406862  push topprobe.6B06B0                                              L"&Add Signal..."
00406909  push topprobe.6B06A0                                              L"&Remove"
004069A9  push topprobe.6B0688                                              L"R&emove All"
00406A50  push topprobe.6B0608                                              L"C&lear"
00406AF7  push topprobe.6B0A9C                                              L"&Zoom..."
00406B97  push topprobe.6B05F4                                              L"Zoom &In"
00406C37  push topprobe.6B05E0                                              L"Zoom &Out"
00406CDE  push topprobe.6B05C0                                              L"&Go to Time..."
00406D85  push topprobe.6B05A0                                              L"&Previous Event"
00406E25  push topprobe.6B0588                                              L"&Next Event"
00406EE7  push topprobe.6B0574                                              L"&Help\tF1"
00406F87  push topprobe.6B0550                                              L"TopJTAG &Website"
0040702E  push topprobe.6B0538                                              L"toggle log"
004070D5  push topprobe.6B051C                                              L"&Register..."
0040717C  push topprobe.6B04F0                                              L"&About TopJTAG Probe"
00407223  push topprobe.6B04E4                                              L"&File"
00407279  push topprobe.6B04D8                                              L"&View"
004072C8  push topprobe.6B04CC                                              L"&Scan"
00407317  push topprobe.6B0B70                                              L"&Pins"
00407366  push topprobe.6B0B60                                              L"&Watch"
004073B5  push topprobe.6B04B8                                              L"W&aveform"
00407404  push topprobe.6B04AC                                              L"&Help"
