Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00407173  push flashmath.407150                                             "0q@"
00407607  imul ebp,dword ptr ss:[ebp],kernel32.765F5F00                     "NetIsServiceAccount"
004076B7  imul ebp,dword ptr ss:[ebp],kernel32.765F5F00                     "NetIsServiceAccount"
00407EBF  push flashmath.407E9C                                             "t~@"
00407F0B  push flashmath.407EE8                                             "t~@"
00407F57  push flashmath.407F34                                             "t~@"
00407FA3  push flashmath.407F80                                             "t~@"
0040800B  push flashmath.407FE8                                             "t~@"
00408057  push flashmath.408034                                             "t~@"
00408580  imul edi,dword ptr ds:[eax],kernel32.765F5F00                     "NetIsServiceAccount"
00409473  add byte ptr ds:[eax+eax+200000],cl                               ",\v"
00409744  imul eax,dword ptr ds:[eax],20006E                                "\rC"
0040992C  imul eax,dword ptr ds:[eax],20006E                                "\rC"
004099E2  imul eax,dword ptr ds:[eax],20006E                                "\rC"
0040A18E  imul eax,dword ptr ds:[eax],20006E                                "\rC"
0040A4C0  imul eax,dword ptr ds:[eax],20006E                                "\rC"
0040A622  imul eax,dword ptr ds:[eax],20006E                                "\rC"
00412AE3  push flashmath.406FB8                                             L"\\Right.wav"
00412B87  push flashmath.406FD4                                             L"\\Wrong.wav"
00412BC0  mov edx,flashmath.406FF0                                          L"FM-Settings.txt"
00413B9C  mov dword ptr ss:[ebp-DC],flashmath.4071FC                        L"You Maximum Number must be higher than your Drill Number."
00413C0C  mov dword ptr ss:[ebp-EC],flashmath.407274                        L"Your Drill Number is "
00413C16  mov dword ptr ss:[ebp-10C],flashmath.4072A4                       L", and your Maximum Number will now be set to "
00414A18  push flashmath.407314                                             L"00:00"
00414A55  push flashmath.407314                                             L"00:00"
00416031  push flashmath.407400                                             L"Right"
00416073  push flashmath.40745C                                             L"Wrong"
00416764  mov edx,flashmath.407474                                          L"00"
00416B75  push flashmath.407488                                             L"*|*"
00416C70  mov dword ptr ss:[ebp-70],flashmath.40749C                        L"TYPE"
00416DD1  mov dword ptr ss:[ebp-70],flashmath.4074AC                        L"SINGLENUM"
00416ED1  mov dword ptr ss:[ebp-70],flashmath.4074C4                        L"MAXNUM"
00416F80  mov dword ptr ss:[ebp-70],flashmath.4074D8                        L"PLAYRIGHT"
00417055  mov dword ptr ss:[ebp-70],flashmath.4074F0                        L"PLAYWRONG"
00417116  mov dword ptr ss:[ebp-70],flashmath.407508                        L"SHOWTOTALS"
0041726E  mov dword ptr ss:[ebp-70],flashmath.407524                        L"SHOWTIMERS"
00417558  push flashmath.407540                                             L"TYPE|"
004175B2  push flashmath.407554                                             L"SINGLENUM|"
004175F0  push flashmath.407570                                             L"MAXNUM|"
004176DC  push flashmath.407584                                             L"PLAYRIGHT|"
004177D5  push flashmath.4075A0                                             L"PLAYWRONG|"
004178CE  push flashmath.4075BC                                             L"SHOWTOTALS|"
004179C7  push flashmath.4075D8                                             L"SHOWTIMERS|"
00418322  mov dword ptr ss:[ebp-84],flashmath.407A4C                        L"Your trial period has expired."
0041835A  mov dword ptr ss:[ebp-94],flashmath.407A90                        L"Registration Is Required To Continue"
004184D3  mov dword ptr ss:[ebp-84],flashmath.407AE0                        L"This is the last day of your trial period."
00418512  mov dword ptr ss:[ebp-94],flashmath.407B3C                        L"Please Register Today"
004185CE  push flashmath.407B6C                                             L" days left in trial period."
00418661  mov dword ptr ss:[ebp-84],flashmath.407BB4                        L"Invalid License"
00418D0B  mov dword ptr ss:[ebp-60],flashmath.407BE8                        L"FALSE"
00418D1D  mov dword ptr ss:[ebp-50],flashmath.407BD8                        L"TRUE"
00418E28  mov dword ptr ss:[ebp-7C],flashmath.407BD8                        L"TRUE"
00419163  mov dword ptr ss:[ebp-6C],flashmath.4080F8                        L"www."
0041919B  push flashmath.408108                                             L"http://"
004195E6  mov eax,flashmath.40811C                                          L"HTMLText"
004198B0  mov dword ptr ss:[ebp-C8],flashmath.40813C                        L"&h"
00419989  mov dword ptr ss:[ebp-C8],flashmath.40813C                        L"&h"
00419A62  mov dword ptr ss:[ebp-C8],flashmath.40813C                        L"&h"
00419B1F  push flashmath.408148                                             L"\\red"
00419B3F  push flashmath.408158                                             L"\\green"
00419B66  push flashmath.40816C                                             L"\\blue"
00419DE4  mov dword ptr ss:[ebp-E8],flashmath.40817C                        L"br"
00419E5D  push flashmath.407FD8                                             L"\\b "
00419E94  push flashmath.407E18                                             L"\\i "
00419EAC  mov dword ptr ss:[ebp-E8],flashmath.407E24                        L"em"
00419ECB  push flashmath.407E18                                             L"\\i "
00419F02  push flashmath.408198                                             L"\\ul "
00419F1A  mov dword ptr ss:[ebp-E8],flashmath.4081A8                        L"strong"
00419F39  push flashmath.407FD8                                             L"\\b "
00419F51  mov dword ptr ss:[ebp-E8],flashmath.4081BC                        L"strike"
00419F70  push flashmath.4081D0                                             L"\\strike "
00419F88  mov dword ptr ss:[ebp-E8],flashmath.4081E8                        L"sub"
00419FA7  push flashmath.4081F4                                             L"\\sub "
00419FBF  mov dword ptr ss:[ebp-E8],flashmath.408204                        L"super"
00419FDE  push flashmath.408214                                             L"\\super "
00419FF6  mov dword ptr ss:[ebp-E8],flashmath.408228                        L"/b"
0041A015  push flashmath.408234                                             L"\\b0 "
0041A02D  mov dword ptr ss:[ebp-E8],flashmath.408244                        L"/i"
0041A04C  push flashmath.408250                                             L"\\i0 "
0041A064  mov dword ptr ss:[ebp-E8],flashmath.408260                        L"/em"
0041A083  push flashmath.408250                                             L"\\i0 "
0041A09B  mov dword ptr ss:[ebp-E8],flashmath.40826C                        L"/u"
0041A0BA  push flashmath.408278                                             L"\\ul0 "
0041A0D2  mov dword ptr ss:[ebp-E8],flashmath.408288                        L"/strong"
0041A0F1  push flashmath.408234                                             L"\\b0 "
0041A109  mov dword ptr ss:[ebp-E8],flashmath.408288                        L"/strong"
0041A128  push flashmath.408234                                             L"\\b0 "
0041A140  mov dword ptr ss:[ebp-E8],flashmath.40829C                        L"/strike"
