Found strings are
Address    Disassembly                               Text string
00401000   JMP 00401010                              (Initial CPU selection)
004011FB   PUSH 0049BA50                             ASCII "OK"
00401967   PUSH 0049BB38                             ASCII "Looking for Words"
00402B19   MOV EDI,0049BBEC                          ASCII "Error"
00402B42   MOV ESI,0049BBEC                          ASCII "Error"
0040497E   MOV EDI,0049CA34                          ASCII "ambulance"
004049A8   MOV ESI,0049CA34                          ASCII "ambulance"
004049EE   MOV EDI,0049CA28                          ASCII "apartment"
00404A18   MOV ESI,0049CA28                          ASCII "apartment"
00404A5E   MOV EDI,0049CA20                          ASCII "bank"
00404A88   MOV ESI,0049CA20                          ASCII "bank"
00404ACE   MOV EDI,0049CA14                          ASCII "barbershop"
00404AF8   MOV ESI,0049CA14                          ASCII "barbershop"
00404B3E   MOV EDI,0049CA0C                          ASCII "bench"
00404B68   MOV ESI,0049CA0C                          ASCII "bench"
00404BAE   MOV EDI,0049CA00                          ASCII "bicyclist"
00404BD8   MOV ESI,0049CA00                          ASCII "bicyclist"
00404C1E   MOV EDI,0049C9F4                          ASCII "billboard"
00404C48   MOV ESI,0049C9F4                          ASCII "billboard"
00404C8E   MOV EDI,0049C9E4                          ASCII "cement truck"
00404CB8   MOV ESI,0049C9E4                          ASCII "cement truck"
00404CFE   MOV EDI,0049C9DC                          ASCII "church"
00404D28   MOV ESI,0049C9DC                          ASCII "church"
00404D6E   MOV EDI,0049C9D0                          ASCII "Church St"
00404D98   MOV ESI,0049C9D0                          ASCII "Church St"
00404DDE   MOV EDI,0049C9C4                          ASCII "city hall"
00404E08   MOV ESI,0049C9C4                          ASCII "city hall"
00404E4E   MOV EDI,0049C9B0                          ASCII "construction sign"
00404E78   MOV ESI,0049C9B0                          ASCII "construction sign"
00404EBE   MOV EDI,0049C9A4                          ASCII "crosswalk"
00404EE8   MOV ESI,0049C9A4                          ASCII "crosswalk"
00404F2E   MOV EDI,0049C998                          ASCII "detour sign"
00404F58   MOV ESI,0049C998                          ASCII "detour sign"
00404F9E   MOV EDI,0049C988                          ASCII "doctor's office"
00404FC8   MOV ESI,0049C988                          ASCII "doctor's office"
0040500E   MOV EDI,0049C97C                          ASCII "downtown"
00405038   MOV ESI,0049C97C                          ASCII "downtown"
0040507E   MOV EDI,0049C974                          ASCII "driver"
004050A8   MOV ESI,0049C974                          ASCII "driver"
004050EE   MOV EDI,0049C968                          ASCII "evergreen"
00405118   MOV ESI,0049C968                          ASCII "evergreen"
0040515E   MOV EDI,0049C95C                          ASCII "eye doctor"
00405188   MOV ESI,0049C95C                          ASCII "eye doctor"
004051CE   MOV EDI,0049C94C                          ASCII "fire hydrant"
004051F8   MOV ESI,0049C94C                          ASCII "fire hydrant"
0040523E   MOV EDI,0049C93C                          ASCII "fire station"
00405268   MOV ESI,0049C93C                          ASCII "fire station"
004052AE   MOV EDI,0049C930                          ASCII "fire truck"
004052D8   MOV ESI,0049C930                          ASCII "fire truck"
0040531E   MOV EDI,0049C928                          ASCII "freeway"
00405348   MOV ESI,0049C928                          ASCII "freeway"
0040538E   MOV EDI,0049C91C                          ASCII "gardener"
004053B8   MOV ESI,0049C91C                          ASCII "gardener"
004053FE   MOV EDI,0049C910                          ASCII "gas pump"
00405428   MOV ESI,0049C910                          ASCII "gas pump"
0040546E   MOV EDI,0049C904                          ASCII "gas station"
00405498   MOV ESI,0049C904                          ASCII "gas station"
004054DE   MOV EDI,0049C8F8                          ASCII "greenhouse"
00405508   MOV ESI,0049C8F8                          ASCII "greenhouse"
0040554E   MOV EDI,0049C8E8                          ASCII "grocery store"
00405578   MOV ESI,0049C8E8                          ASCII "grocery store"
004055BE   MOV EDI,0049C8DC                          ASCII "hospital"
004055E8   MOV ESI,0049C8DC                          ASCII "hospital"
0040562E   MOV EDI,0049C8D4                          ASCII "manhole"
00405658   MOV ESI,0049C8D4                          ASCII "manhole"
0040569E   MOV EDI,0049C8C8                          ASCII "Maple St"
004056C8   MOV ESI,0049C8C8                          ASCII "Maple St"
0040570E   MOV EDI,0049C8C0                          ASCII "median"
00405738   MOV ESI,0049C8C0                          ASCII "median"
0040577E   MOV EDI,0049C8B4                          ASCII "merge sign"
004057A8   MOV ESI,0049C8B4                          ASCII "merge sign"
004057EE   MOV EDI,0049C8A4                          ASCII "news building"
00405818   MOV ESI,0049C8A4                          ASCII "news building"
0040585E   MOV EDI,0049C898                          ASCII "newsstand"
00405888   MOV ESI,0049C898                          ASCII "newsstand"
004058CE   MOV EDI,0049C888                          ASCII "office building"
004058F8   MOV ESI,0049C888                          ASCII "office building"
0040593E   MOV EDI,0049C880                          ASCII "on-ramp"
00405968   MOV ESI,0049C880                          ASCII "on-ramp"
004059AE   MOV EDI,0049C870                          ASCII "parking meter"
004059D8   MOV ESI,0049C870                          ASCII "parking meter"
00405A1E   MOV EDI,0049C860                          ASCII "parking ramp"
00405A48   MOV ESI,0049C860                          ASCII "parking ramp"
00405A8E   MOV EDI,0049C854                          ASCII "passenger"
00405AB8   MOV ESI,0049C854                          ASCII "passenger"
00405AFE   MOV EDI,0049C848                          ASCII "pay phone"
00405B28   MOV ESI,0049C848                          ASCII "pay phone"
00405B6E   MOV EDI,0049C83C                          ASCII "pedestrian"
00405B98   MOV ESI,0049C83C                          ASCII "pedestrian"
00405BDE   MOV EDI,0049C82C                          ASCII "pedestrian sign"
00405C08   MOV ESI,0049C82C                          ASCII "pedestrian sign"
