Found strings are
Address    Disassembly                               Text string
00401000   PUSH -1                                   (Initial CPU selection)
00401547   PUSH 004A1920                             ASCII "Show Me Spelling"
00401570   MOV DWORD PTR DS:[ESI],0047A2F4           ASCII "P9A"
0040161D   MOV DWORD PTR DS:[ESI],0047A2F4           ASCII "P9A"
00401DB2   PUSH 004A1A9C                             ASCII "OK"
00401F0A   PUSH 004A1A90                             ASCII "ALL WORDS"
00401F2C   PUSH 004A1A84                             ASCII "Adjectives"
00401F4E   PUSH 004A1A7C                             ASCII "Adverbs"
00401F70   PUSH 004A1A6C                             ASCII "Prepositions"
00401F92   PUSH 004A1A60                             ASCII "Pronouns"
00401FB4   PUSH 004A1A58                             ASCII "Verbs"
00401FD6   PUSH 004A1A50                             ASCII "Animals"
00401FF8   PUSH 004A1A44                             ASCII "Appliances"
0040201A   PUSH 004A1A3C                             ASCII "Body"
0040203C   PUSH 004A1A34                             ASCII "City"
0040205E   PUSH 004A1A2C                             ASCII "Clothes"
00402080   PUSH 004A1A24                             ASCII "Dining"
004020A2   PUSH 004A1A1C                             ASCII "Family"
004020C4   PUSH 004A1A14                             ASCII "Farm"
004020E6   PUSH 004A1A0C                             ASCII "Food"
00402108   PUSH 004A1A00                             ASCII "Furniture"
0040212A   PUSH 004A19F4                             ASCII "Hardware"
0040214C   PUSH 004A19EC                             ASCII "Health"
0040216E   PUSH 004A19E4                             ASCII "House"
00402190   PUSH 004A19DC                             ASCII "Kitchen"
004021B2   PUSH 004A19D4                             ASCII "Leisure"
004021D4   PUSH 004A19CC                             ASCII "Nature"
004021F6   PUSH 004A19C0                             ASCII "Occupations"
00402218   PUSH 004A19B8                             ASCII "Office"
0040223A   PUSH 004A19A8                             ASCII "Personal Care"
0040225C   PUSH 004A19A0                             ASCII "School"
0040227E   PUSH 004A1990                             ASCII "Transportation"
004022A0   PUSH 004A1980                             ASCII "Useful Words"
004023BA   ADD EAX,0047A314                          ASCII "actor"
0040269A   PUSH 004A1970                             ASCII "Random order"
004028B9   ADD EAX,0047A314                          ASCII "actor"
0040296C   MOV EDI,004A1AA0                          ASCII "My Spelling List"
00402A18   MOV ESI,004A1AA0                          ASCII "My Spelling List"
0040357C   PUSH 004A1BA4                             ASCII "Version 2.5.1"
00403932   PUSH 004A1B9C                             ASCII "Quit"
004039E9   PUSH 004A1B94                             ASCII "Quiz"
00403D58   PUSH 004A1B84                             ASCII "Are you sure?"
00403EBD   PUSH 004A1B7C                             ASCII "File"
00403EE8   MOV EDI,004A1B7C                          ASCII "File"
00403F26   MOV ESI,004A1B7C                          ASCII "File"
00403F5C   PUSH 004A1B68                             ASCII "Show quiz scores..."
00403F87   MOV EDI,004A1B7C                          ASCII "File"
00403FC3   MOV ESI,004A1B7C                          ASCII "File"
00404000   PUSH 004A1B9C                             ASCII "Quit"
004040A0   PUSH 004A1B60                             ASCII "Options"
004040CB   MOV EDI,004A1B60                          ASCII "Options"
00404109   MOV ESI,004A1B60                          ASCII "Options"
00404145   PUSH 004A1B4C                             ASCII "Spelling options..."
00404170   MOV EDI,004A1B60                          ASCII "Options"
004041AE   MOV ESI,004A1B60                          ASCII "Options"
004041EA   PUSH 004A1B34                             ASCII "Select word lists..."
00404215   MOV EDI,004A1B60                          ASCII "Options"
00404253   MOV ESI,004A1B60                          ASCII "Options"
0040428F   PUSH 004A1B1C                             ASCII "Edit your word list..."
0040432F   PUSH 004A1B14                             ASCII "Sound"
0040435A   MOV EDI,004A1B14                          ASCII "Sound"
00404398   MOV ESI,004A1B14                          ASCII "Sound"
004043D3   PUSH 004A1B0C                             ASCII "Music"
004043FE   MOV EDI,004A1B14                          ASCII "Sound"
0040443C   MOV ESI,004A1B14                          ASCII "Sound"
00404477   PUSH 004A1B04                             ASCII "Speech"
004044A2   MOV EDI,004A1B14                          ASCII "Sound"
004044E0   MOV ESI,004A1B14                          ASCII "Sound"
0040451B   PUSH 004A1AF4                             ASCII "Sound effects"
0040455C   PUSH 004A1B0C                             ASCII "Music"
00404589   PUSH 004A1B04                             ASCII "Speech"
004045B5   PUSH 004A1AF4                             ASCII "Sound effects"
004046A0   PUSH 004A1AEC                             ASCII "Help"
004046CB   MOV EDI,004A1AEC                          ASCII "Help"
0040475F   MOV ESI,004A1AEC                          ASCII "Help"
004047A1   PUSH 004A1AD0                             ASCII "About Show Me Spelling..."
00404C66   MOV EDX,004A1BF0                          ASCII "quiz mode"
00404C78   MOV EDX,004A1BE4                          ASCII "learn mode"
00404C9F   MOV EDI,004A1BD4                          ASCII "leave program"
00404CCE   MOV ESI,004A1BD4                          ASCII "leave program"
00404D42   MOV ESI,004A1BC8                          ASCII "My Words"
00404D49   MOV ESI,004A1BBC                          ASCII "All Words"
00404DCA   MOV EDI,004A1BBC                          ASCII "All Words"
00404DF1   MOV ESI,004A1BBC                          ASCII "All Words"
00404DFB   MOV EDI,004A1A84                          ASCII "Adjectives"
00404E28   MOV ESI,004A1A84                          ASCII "Adjectives"
00404E39   MOV EDI,004A1A7C                          ASCII "Adverbs"
00404E60   MOV ESI,004A1A7C                          ASCII "Adverbs"
00404E6A   MOV EDI,004A1A6C                          ASCII "Prepositions"
00404E97   MOV ESI,004A1A6C                          ASCII "Prepositions"
00404EA8   MOV EDI,004A1A60                          ASCII "Pronouns"
00404ECF   MOV ESI,004A1A60                          ASCII "Pronouns"
00404ED9   MOV EDI,004A1A58                          ASCII "Verbs"
00404F06   MOV ESI,004A1A58                          ASCII "Verbs"
00404F17   MOV EDI,004A1A50                          ASCII "Animals"
00404F3E   MOV ESI,004A1A50                          ASCII "Animals"
00404F48   MOV EDI,004A1A44                          ASCII "Appliances"
00404F75   MOV ESI,004A1A44                          ASCII "Appliances"
00404F86   MOV EDI,004A1A3C                          ASCII "Body"
00404FAD   MOV ESI,004A1A3C                          ASCII "Body"
00404FB7   MOV EDI,004A1A34                          ASCII "City"
00404FE4   MOV ESI,004A1A34                          ASCII "City"
00404FF5   MOV EDI,004A1A2C                          ASCII "Clothes"
0040501C   MOV ESI,004A1A2C                          ASCII "Clothes"
00405026   MOV EDI,004A1A24                          ASCII "Dining"
00405053   MOV ESI,004A1A24                          ASCII "Dining"
00405064   MOV EDI,004A1A1C                          ASCII "Family"
0040508B   MOV ESI,004A1A1C                          ASCII "Family"
00405095   MOV EDI,004A1A14                          ASCII "Farm"
004050C2   MOV ESI,004A1A14                          ASCII "Farm"
004050D3   MOV EDI,004A1A0C                          ASCII "Food"
004050FA   MOV ESI,004A1A0C                          ASCII "Food"
00405104   MOV EDI,004A1A00                          ASCII "Furniture"
00405131   MOV ESI,004A1A00                          ASCII "Furniture"
00405142   MOV EDI,004A19F4                          ASCII "Hardware"
00405169   MOV ESI,004A19F4                          ASCII "Hardware"
00405173   MOV EDI,004A19EC                          ASCII "Health"
004051A0   MOV ESI,004A19EC                          ASCII "Health"
004051B1   MOV EDI,004A19E4                          ASCII "House"
004051D8   MOV ESI,004A19E4                          ASCII "House"
004051E2   MOV EDI,004A19DC                          ASCII "Kitchen"
0040520F   MOV ESI,004A19DC                          ASCII "Kitchen"
00405220   MOV EDI,004A19D4                          ASCII "Leisure"
00405247   MOV ESI,004A19D4                          ASCII "Leisure"
00405251   MOV EDI,004A19CC                          ASCII "Nature"
0040527E   MOV ESI,004A19CC                          ASCII "Nature"
0040528F   MOV EDI,004A19C0                          ASCII "Occupations"
004052B6   MOV ESI,004A19C0                          ASCII "Occupations"
004052C0   MOV EDI,004A19B8                          ASCII "Office"
004052ED   MOV ESI,004A19B8                          ASCII "Office"
004052FE   MOV EDI,004A19A8                          ASCII "Personal Care"
00405325   MOV ESI,004A19A8                          ASCII "Personal Care"
0040532F   MOV EDI,004A19A0                          ASCII "School"
0040535C   MOV ESI,004A19A0                          ASCII "School"
0040536D   MOV EDI,004A1990                          ASCII "Transportation"
00405394   MOV ESI,004A1990                          ASCII "Transportation"
0040539B   MOV EDI,004A1980                          ASCII "Useful Words"
004053C4   MOV ESI,004A1980                          ASCII "Useful Words"
004053D2   MOV EDI,004A1BB4                          ASCII "error"
004053F5   MOV ESI,004A1BB4                          ASCII "error"
004056C7   MOV EDI,004A1B0C                          ASCII "Music"
004056F1   MOV ESI,004A1B0C                          ASCII "Music"
00405740   MOV EDI,004A1B04                          ASCII "Speech"
0040576A   MOV ESI,004A1B04                          ASCII "Speech"
004057BB   MOV EDI,004A1AF4                          ASCII "Sound effects"
004057E5   MOV ESI,004A1AF4                          ASCII "Sound effects"
00405D7D   PUSH 004A1A9C                             ASCII "OK"
0040617D   ADD EAX,0047E64C                          ASCII "actor"
0040619A   MOV EDI,004A1AA0                          ASCII "My Spelling List"
004061BB   MOV EDI,004A1AA0                          ASCII "My Spelling List"
00406449   MOV EDI,004A1AA0                          ASCII "My Spelling List"
004064C8   MOV ESI,004A1AA0                          ASCII "My Spelling List"
00406A29   PUSH 004A1A9C                             ASCII "OK"
00406B3E   PUSH 004A1D04                             ASCII "Hints"
00406B7B   PUSH 004A1CF4                             ASCII "Enable hints"
00406BB6   PUSH 004A1CE8                             ASCII "Automatic"
00406BF1   PUSH 004A1CD4                             ASCII "Only next letter"
00406C2C   PUSH 004A1CC4                             ASCII "Animate Show Me"
00406C96   PUSH 004A1CB4                             ASCII "Auto Scan Delay"
00406CD3   PUSH 004A1CA8                             ASCII "1 second"
00406CF7   PUSH 004A1C9C                             ASCII "2 second"
00406D1B   PUSH 004A1C90                             ASCII "4 second"
00406D98   PUSH 004A1C88                             ASCII "Cues"
00406DD1   PUSH 004A1C80                             ASCII "Verbal"
00406E0C   PUSH 004A1C78                             ASCII "Visual"
00406E79   PUSH 004A1C70                             ASCII "Rewards"
00406EB6   PUSH 004A1C80                             ASCII "Verbal"
00406EF1   PUSH 004A1C78                             ASCII "Visual"
00406F2C   PUSH 004A1C60                             ASCII "Intermittent"
00406F98   PUSH 004A1C58                             ASCII "Letters"
00406FD1   PUSH 004A1C44                             ASCII "Use only upper case"
0040700C   PUSH 004A1C34                             ASCII "Hilite vowels"
00407700   PUSH 004A1D38                             ASCII "Exit"
00407851   PUSH 004A1D30                             ASCII "HINT"
004079E3   PUSH 004A1B94                             ASCII "Quiz"
00407A9A   PUSH 004A1D28                             ASCII "SHOW ME"
00407C47   PUSH 004A1B84                             ASCII "Are you sure?"
00409658   PUSH 004A1D4C                             ASCII "%d.  %s"
0040967D   PUSH 004A1D40                             ASCII "%d.  %s *"
00409B47   PUSH 004A1D58                             ASCII "%c"
0040A311   PUSH 004A1D5C                             ASCII "%ld of %ld"
0040B5A8   PUSH 004A1A9C                             ASCII "OK"
0040BB8C   PUSH 004A1DA0                             ASCII "Software\Attainment\Show Me Spelling\Spelling Lists\%s"
0040BBF1   PUSH 004A1D98                             ASCII "random"
0040BC12   PUSH 004A1D8C                             ASCII "listsize"
0040BC34   PUSH 004A1D80                             ASCII "word %03ld"
0040BC54   ADD EDI,00486C84                          ASCII "actor"
0040BD37   PUSH 004A1DA0                             ASCII "Software\Attainment\Show Me Spelling\Spelling Lists\%s"
0040BD8F   PUSH 004A1D8C                             ASCII "listsize"
0040BDF4   PUSH 004A1D98                             ASCII "random"
0040BE3D   PUSH 004A1D80                             ASCII "word %03ld"
0040BE92   ADD EAX,00486C84                          ASCII "actor"
0040BF6B   PUSH 004A1DD8                             ASCII "Software\Attainment\Show Me Spelling\Spelling Lists"
0040C037   MOV ESI,004A1DD8                          ASCII "Software\Attainment\Show Me Spelling\Spelling Lists"
0040C5E3   PUSH 004A1E5C                             ASCII "You got %d of %d correct."
0040C6DF   PUSH 004A1E4C                             ASCII "%ld percent."
0040C8F0   PUSH 004A1E44                             ASCII "Sorry"
0040C9AD   PUSH 004A1E28                             ASCII "There is no quiz score yet."
0040CC0E   MOV EDI,004A1ED0                          ASCII "Printing...   Page 1"
0040CC38   MOV ESI,004A1ED0                          ASCII "Printing...   Page 1"
0040CD45   MOV EDI,004A1EB8                          ASCII "Printing...   Finished"
0040CD6F   MOV ESI,004A1EB8                          ASCII "Printing...   Finished"
0040CDF5   MOV EDI,004A1E98                          ASCII "Note.  Printer may not start"
0040CE05   PUSH 004A1E98                             ASCII "Note.  Printer may not start"
0040CE69   MOV EDI,004A1E78                          ASCII "until after you exit program."
0040CE93   MOV ESI,004A1E78                          ASCII "until after you exit program."
0040CF4B   MOV EDI,004A1F58                          ASCII "Show Me Spelling - quiz results"
0040CF71   MOV ESI,004A1F58                          ASCII "Show Me Spelling - quiz results"
0040D019   PUSH 004A1F48                             ASCII "Name: ________"
0040D031   PUSH 004A1F34                             ASCII "Teacher: ________"
0040D107   PUSH 004A1F24                             ASCII "Score: %ld%c"
0040D150   PUSH 004A1F14                             ASCII "Time: %ld:%02ld"
0040D198   PUSH 004A1F00                             ASCII "Date: %ld/%ld/%ld"
0040D294   PUSH 004A1EE8                             ASCII "Printing...   Page %d"
0040D883   PUSH 004A1A9C                             ASCII "OK"
0040D9D1   PUSH 004A1F90                             ASCII "Empty list?"
0040DA5E   PUSH 004A1970                             ASCII "Random order"
0040DD7E   PUSH 004A1A90                             ASCII "ALL WORDS"
0040DDA2   PUSH 004A1A84                             ASCII "Adjectives"
