Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00403D90  push aoao watermark.403E10                                        "SOFTWARE\\Borland\\Delphi\\RTL"
00403DC4  push aoao watermark.403E2C                                        "FPUMaskValue"
00404AE7  mov esi,aoao watermark.6C3074                                     "Runtime error     at 00000000"
00404B25  mov dl,byte ptr ds:[edx+6C3094]                                   "0123456789ABCDEF"
00404BA2  push aoao watermark.6C3074                                        "Runtime error     at 00000000"
00404BBD  push aoao watermark.404BF8                                        "\r\n"
00404BDC  push aoao watermark.6C306C                                        "Error"
00404BE1  push aoao watermark.6C3074                                        "Runtime error     at 00000000"
004067D4  push aoao watermark.406970                                        "kernel32.dll"
004067E4  push aoao watermark.406980                                        "GetLongPathNameA"
004069C3  push aoao watermark.406BD8                                        "Software\\Borland\\Locales"
004069E1  push aoao watermark.406BD8                                        "Software\\Borland\\Locales"
004069FF  push aoao watermark.406BF4                                        "Software\\Borland\\Delphi\\Locales"
004087CE  push aoao watermark.40885C                                        "Magellan MSWHEEL"
004087D3  push aoao watermark.408870                                        "MouseZ"
004087DF  push aoao watermark.408878                                        "MSWHEEL_ROLLMSG"
004087EE  push aoao watermark.408888                                        "MSH_WHEELSUPPORT_MSG"
004087FA  push aoao watermark.4088A0                                        "MSH_SCROLL_LINES_MSG"
0040A4DD  mov edx,aoao watermark.40A528                                     "True"
0040A514  mov edx,aoao watermark.40A538                                     "False"
0040ABCD  mov eax,aoao watermark.40AC38                                     ".\\:"
0040AC45  mov eax,aoao watermark.40AC6C                                     "\\:"
0040AD0D  mov eax,aoao watermark.40AD38                                     "\\:"
0040AD45  mov eax,aoao watermark.40AD80                                     ".\\:"
0040B751  mov ecx,dword ptr ds:[6DF608]                                     " 0l"
0040B75C  mov ebx,dword ptr ds:[6DF608]                                     " 0l"
0040CE5B  mov edx,aoao watermark.40CF70                                     "gg"
0040CFC6  mov edx,aoao watermark.40D068                                     "yy"
0040CFD5  mov edx,aoao watermark.40D074                                     "yyyy"
0040D40A  mov edx,aoao watermark.40D830                                     "AM/PM"
0040D420  mov edx,aoao watermark.40D838                                     "A/P"
0040D436  mov edx,aoao watermark.40D83C                                     "AMPM"
0040D57F  mov edx,aoao watermark.40D830                                     "AM/PM"
0040D5BE  mov edx,aoao watermark.40D838                                     "A/P"
0040D5FD  mov edx,aoao watermark.40D83C                                     "AMPM"
0040D646  mov edx,aoao watermark.40D844                                     "AAAA"
0040D68D  mov edx,aoao watermark.40D84C                                     "AAA"
0040DE05  mov eax,aoao watermark.40DF08                                     "ddd"
